Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
-114,4950,4967,99.667,99.602,7.409999999999741,0.0006521717318670461,2013-09-06 11:00:00,2013-09-09 05:00:00,,2 days 18:00:00
114,4994,4995,99.769174769,99.908,15.826076333999822,0.00139146416036251,2013-09-10 08:00:00,2013-09-10 09:00:00,,0 days 01:00:00
113,5000,5025,100.346,100.23,-13.107999999999961,-0.0011560002391725055,2013-09-10 14:00:00,2013-09-11 15:00:00,,1 days 01:00:00
-114,5032,5062,99.840825159,99.776,7.390068126000983,0.0006492850885073675,2013-09-11 22:00:00,2013-09-13 04:00:00,,1 days 06:00:00
-115,5082,5105,98.832,99.048,-24.84000000000094,-0.0021855269548325396,2013-09-16 00:00:00,2013-09-16 23:00:00,,0 days 23:00:00
114,5122,5124,99.309174309,99.162,-16.777871225999235,-0.00148198099545227,2013-09-17 16:00:00,2013-09-17 18:00:00,,0 days 02:00:00
-115,5149,5167,98.873826126,98.91,-4.159995509999916,-0.00036585894788676576,2013-09-18 19:00:00,2013-09-19 13:00:00,,0 days 18:00:00
114,5171,5203,99.476,99.293,-20.86199999999917,-0.0018396397120913344,2013-09-19 17:00:00,2013-09-23 02:00:00,,3 days 09:00:00
-114,5210,5237,99.026,98.783,27.70199999999943,0.0024539009956980884,2013-09-23 09:00:00,2013-09-24 12:00:00,,1 days 03:00:00
-115,5257,5269,98.556826443,98.54,1.9350409449999262,0.00017072833620235262,2013-09-25 08:00:00,2013-09-25 20:00:00,,0 days 12:00:00
-115,5275,5281,98.38382661600001,98.912,-60.73993915999985,-0.00536849807704165,2013-09-26 02:00:00,2013-09-26 08:00:00,,0 days 06:00:00
114,5289,5290,99.09017409,98.95,-15.979846260000244,-0.00141461140105259,2013-09-26 16:00:00,2013-09-26 17:00:00,,0 days 01:00:00
114,5298,5306,99.033174033,98.663,-42.199839761999755,-0.0037378791159076163,2013-09-27 01:00:00,2013-09-27 09:00:00,,0 days 08:00:00
-114,5310,5341,98.506826493,98.204,34.522220202001364,0.003074167585954357,2013-09-27 13:00:00,2013-09-30 21:00:00,,3 days 08:00:00
114,5345,5356,98.46017346,97.842,-70.47177443999934,-0.006278411242603865,2013-10-01 01:00:00,2013-10-01 12:00:00,,0 days 11:00:00
-114,5372,5376,97.764827235,97.682,9.442304789999582,0.0008472089333406707,2013-10-02 04:00:00,2013-10-02 08:00:00,,0 days 04:00:00
-115,5377,5400,97.566,97.684,-13.569999999999425,-0.0012094377139577617,2013-10-02 09:00:00,2013-10-03 08:00:00,,0 days 23:00:00
-115,5424,5438,97.032827967,97.452,-48.20478379499946,-0.004319899170026842,2013-10-04 08:00:00,2013-10-04 22:00:00,,0 days 14:00:00
-115,5451,5474,96.92,97.095,-20.124999999999673,-0.0018056128765993051,2013-10-07 11:00:00,2013-10-08 10:00:00,,0 days 23:00:00
